1,2,3
6.78E-01,4.77E-01,1.00E+00
6.70E-01,4.93E-01,1.00E+00
6.63E-01,4.84E-01,1.00E+00
6.66E-01,5.01E-01,1.00E+00
6.64E-01,4.97E-01,1.00E+00
6.75E-01,4.97E-01,1.00E+00
6.51E-01,5.18E-01,1.00E+00
6.95E-01,5.32E-01,1.00E+00
6.82E-01,5.25E-01,1.00E+00
6.77E-01,5.40E-01,1.00E+00
6.82E-01,5.56E-01,1.00E+00
7.06E-01,5.46E-01,1.00E+00
6.75E-01,5.60E-01,1.00E+00
7.03E-01,5.51E-01,1.00E+00
6.94E-01,5.69E-01,1.00E+00
6.81E-01,5.86E-01,1.00E+00
7.10E-01,5.91E-01,1.00E+00
6.91E-01,5.94E-01,1.00E+00
7.08E-01,5.84E-01,1.00E+00
6.98E-01,6.05E-01,1.00E+00
6.89E-01,6.17E-01,1.00E+00
6.94E-01,6.13E-01,1.00E+00
3.62E-01,5.83E-01,1.19E+02
2.99E-01,6.37E-01,1.19E+02
3.38E-01,6.33E-01,1.19E+02
3.00E-01,5.60E-01,1.19E+02
3.52E-01,5.70E-01,1.19E+02
3.47E-01,5.96E-01,1.19E+02
3.20E-01,6.38E-01,1.19E+02
3.55E-01,5.67E-01,1.19E+02
3.02E-01,6.52E-01,1.19E+02
3.56E-01,6.03E-01,1.19E+02
3.55E-01,6.46E-01,1.19E+02
3.13E-01,6.29E-01,1.19E+02
3.65E-01,5.56E-01,1.19E+02
3.35E-01,6.26E-01,1.19E+02
3.21E-01,5.82E-01,1.19E+02
3.23E-01,6.24E-01,1.19E+02
3.50E-01,6.34E-01,1.19E+02
3.03E-01,5.96E-01,1.19E+02
3.11E-01,5.86E-01,1.19E+02
3.11E-01,6.36E-01,1.19E+02
3.81E-01,5.90E-01,1.19E+02
3.40E-01,6.38E-01,1.19E+02
3.84E-01,5.85E-01,1.19E+02
3.55E-01,6.31E-01,1.19E+02
3.65E-01,6.33E-01,1.19E+02
3.05E-01,6.30E-01,1.19E+02
3.07E-01,6.14E-01,1.19E+02
3.58E-01,5.81E-01,1.19E+02
3.27E-01,5.52E-01,1.19E+02
3.66E-01,5.79E-01,1.19E+02
3.11E-01,5.82E-01,1.19E+02
3.13E-01,6.51E-01,1.19E+02
3.45E-01,6.18E-01,1.19E+02
3.18E-01,5.58E-01,1.19E+02
3.46E-01,5.97E-01,1.19E+02
3.43E-01,6.29E-01,1.19E+02
3.87E-01,6.07E-01,1.19E+02
3.12E-01,6.26E-01,1.19E+02
3.55E-01,5.62E-01,1.19E+02
3.73E-01,5.69E-01,1.19E+02
2.91E-01,5.59E-01,1.19E+02
3.30E-01,5.55E-01,1.19E+02
3.66E-01,6.08E-01,1.19E+02
3.83E-01,6.28E-01,1.19E+02
3.16E-01,6.26E-01,1.19E+02
2.85E-01,6.15E-01,1.19E+02
3.78E-01,5.88E-01,1.19E+02
3.75E-01,5.91E-01,1.19E+02
3.80E-01,5.65E-01,1.19E+02
3.44E-01,5.88E-01,1.19E+02
2.97E-01,5.92E-01,1.19E+02
3.05E-01,6.28E-01,1.19E+02
3.46E-01,5.87E-01,1.19E+02
2.89E-01,5.78E-01,1.19E+02
3.07E-01,5.64E-01,1.19E+02
3.21E-01,6.28E-01,1.19E+02
3.43E-01,5.67E-01,1.19E+02
3.52E-01,6.02E-01,1.19E+02
3.14E-01,6.36E-01,1.19E+02
2.97E-01,6.12E-01,1.19E+02
3.21E-01,5.70E-01,1.19E+02
3.70E-01,6.14E-01,1.19E+02
3.70E-01,5.98E-01,1.19E+02
3.17E-01,6.25E-01,1.19E+02
3.10E-01,6.46E-01,1.19E+02
3.01E-01,5.84E-01,1.19E+02
3.28E-01,6.08E-01,1.19E+02
3.06E-01,6.07E-01,1.19E+02
3.38E-01,5.73E-01,1.19E+02
3.87E-01,6.36E-01,1.19E+02
3.15E-01,6.39E-01,1.19E+02
3.47E-01,6.09E-01,1.19E+02
3.23E-01,6.02E-01,1.19E+02
3.03E-01,6.51E-01,1.19E+02
3.64E-01,6.37E-01,1.19E+02
5.38E-01,6.13E-01,1.94E+02
5.35E-01,5.88E-01,1.94E+02
5.14E-01,6.07E-01,1.94E+02
5.47E-01,6.19E-01,1.94E+02
5.37E-01,5.90E-01,1.94E+02
5.86E-01,6.23E-01,1.94E+02
5.62E-01,5.72E-01,1.94E+02
5.60E-01,6.17E-01,1.94E+02
5.66E-01,6.01E-01,1.94E+02
5.78E-01,5.73E-01,1.94E+02
5.80E-01,6.23E-01,1.94E+02
5.34E-01,6.14E-01,1.94E+02
5.38E-01,5.88E-01,1.94E+02
5.40E-01,5.81E-01,1.94E+02
5.52E-01,6.31E-01,1.94E+02
5.69E-01,5.86E-01,1.94E+02
5.55E-01,6.24E-01,1.94E+02
5.31E-01,6.00E-01,1.94E+02
5.62E-01,5.61E-01,1.94E+02
5.56E-01,5.88E-01,1.94E+02
5.74E-01,5.94E-01,1.94E+02
5.09E-01,6.35E-01,1.94E+02
5.20E-01,5.67E-01,1.94E+02
5.44E-01,5.97E-01,1.94E+02
5.71E-01,6.27E-01,1.94E+02
5.58E-01,5.93E-01,1.94E+02
5.50E-01,6.24E-01,1.94E+02
5.31E-01,6.31E-01,1.94E+02
5.37E-01,6.33E-01,1.94E+02
5.42E-01,6.21E-01,1.94E+02
5.48E-01,5.95E-01,1.94E+02
5.44E-01,6.33E-01,1.94E+02
5.52E-01,6.43E-01,1.94E+02
5.47E-01,6.16E-01,1.94E+02
5.46E-01,5.86E-01,1.94E+02
5.86E-01,6.04E-01,1.94E+02
5.80E-01,6.28E-01,1.94E+02
5.86E-01,6.23E-01,1.94E+02
5.35E-01,6.39E-01,1.94E+02
5.14E-01,5.90E-01,1.94E+02
5.90E-01,5.97E-01,1.94E+02
5.61E-01,6.23E-01,1.94E+02
5.74E-01,5.67E-01,1.94E+02
5.58E-01,5.65E-01,1.94E+02
5.49E-01,5.71E-01,1.94E+02
5.80E-01,6.05E-01,1.94E+02
5.64E-01,5.62E-01,1.94E+02
5.10E-01,5.87E-01,1.94E+02
5.87E-01,6.24E-01,1.94E+02
5.91E-01,6.14E-01,1.94E+02
5.12E-01,6.38E-01,1.94E+02
5.33E-01,5.83E-01,1.94E+02
5.17E-01,6.24E-01,1.94E+02
5.79E-01,5.66E-01,1.94E+02
5.20E-01,5.86E-01,1.94E+02
5.38E-01,6.29E-01,1.94E+02
5.21E-01,5.90E-01,1.94E+02
5.21E-01,5.88E-01,1.94E+02
5.22E-01,5.63E-01,1.94E+02
5.21E-01,6.26E-01,1.94E+02
5.61E-01,6.34E-01,1.94E+02
5.20E-01,5.98E-01,1.94E+02
5.48E-01,6.36E-01,1.94E+02
5.41E-01,6.12E-01,1.94E+02
5.21E-01,5.62E-01,1.94E+02
5.29E-01,5.64E-01,1.94E+02
5.11E-01,6.44E-01,1.94E+02
5.32E-01,5.74E-01,1.94E+02
5.62E-01,6.00E-01,1.94E+02
5.57E-01,5.73E-01,1.94E+02
5.81E-01,6.43E-01,1.94E+02
5.61E-01,6.34E-01,1.94E+02
5.12E-01,6.02E-01,1.94E+02
